variant,genome_fraction_gain_pp,mean_recovery_gain_pp,relative_chimera_change,alignment_ratio_increase,safe_development_candidate,mode,baseline_source_id,thresholds,baseline_contigs,baseline_bp,added_contigs,added_bp,output_contigs,output_bp,truth_blind,boundary
additive_rescue_all,0.00033905294759062343,0.0001288071065155827,0.0,1.3044632498848685e-05,true,rescue_all,megahit_pair,"{'min_score': 0.0, 'min_breadth': 0.0, 'min_length': 1000, 'min_timepoints': 1}",8990,23231910,0,0,8990,23231910,True,Baseline-preserving additive construction uses only assembly provenance and frozen mapping evidence; no gold or taxonomy is read.
additive_rescue_high,0.00033905294759062343,0.0001288071065155827,0.0,1.3044632498848685e-05,true,rescue_high,megahit_pair,"{'min_score': 0.4, 'min_breadth': 0.8, 'min_length': 1000, 'min_timepoints': 2}",8990,23231910,0,0,8990,23231910,True,Baseline-preserving additive construction uses only assembly provenance and frozen mapping evidence; no gold or taxonomy is read.
additive_rescue_length,0.00033905294759062343,0.0001288071065155827,0.0,1.3044632498848685e-05,true,rescue_length,megahit_pair,"{'min_score': 0.28, 'min_breadth': 0.5, 'min_length': 1500, 'min_timepoints': 2}",8990,23231910,0,0,8990,23231910,True,Baseline-preserving additive construction uses only assembly provenance and frozen mapping evidence; no gold or taxonomy is read.
additive_rescue_strict,0.00033905294759062343,0.0001288071065155827,0.0,1.3044632498848685e-05,true,rescue_strict,megahit_pair,"{'min_score': 0.45, 'min_breadth': 0.95, 'min_length': 1500, 'min_timepoints': 2}",8990,23231910,0,0,8990,23231910,True,Baseline-preserving additive construction uses only assembly provenance and frozen mapping evidence; no gold or taxonomy is read.
additive_selected_nonbaseline,0.17890891079853866,0.197045153161491,0.016151250433161138,0.036223285428917285,true,selected_nonbaseline,megahit_pair,"{'min_score': 0.0, 'min_breadth': 0.0, 'min_length': 1000, 'min_timepoints': 1}",8990,23231910,789,1149454,9779,24381364,True,Baseline-preserving additive construction uses only assembly provenance and frozen mapping evidence; no gold or taxonomy is read.
