pmcid,disease_label,broad_disease,gene,confidence
PMC12494972,cancer_unspecified,cancer,MAPK1,high
PMC12494972,cancer_unspecified,cancer,MAPK3,high
PMC12267510,hepatocellular_carcinoma,cancer,IL6,medium
PMC12267510,hepatocellular_carcinoma,cancer,IL1B,medium
PMC12267510,hepatocellular_carcinoma,cancer,TP53,medium
PMC12267510,hepatocellular_carcinoma,cancer,AKT1,medium
PMC12267510,hepatocellular_carcinoma,cancer,TNF,medium
PMC12267510,hepatocellular_carcinoma,cancer,EGFR,medium
PMC11303875,,,TP53,medium
PMC11303875,,,INS,medium
PMC11303875,,,AKT1,medium
PMC11303875,,,STAT3,medium
PMC11303875,,,EGFR,medium
PMC11303875,,,CTNNB1,medium
PMC11303875,,,PIK3CA,medium
PMC11303875,,,HRAS,medium
PMC11303875,,,EGF,medium
PMC11303875,,,ESR1,medium
PMC10762922,diabetes,metabolic,IL6,high
PMC10762922,diabetes,metabolic,TNF,high
PMC10762922,diabetes,metabolic,IL1B,high
PMC10762922,diabetes,metabolic,CXCL8,high
PMC10762922,diabetes,metabolic,IL10,high
PMC10762922,diabetes,metabolic,CCL2,high
PMC10762922,diabetes,metabolic,ICAM1,high
PMC10762922,diabetes,metabolic,STAT3,high
PMC10762922,diabetes,metabolic,IL4,high
PMC8806438,,,TP53,medium
PMC8806438,,,BAX,medium
PMC8806438,,,BCL2,medium
PMC13180395,depression,psychiatric,IL1A,high
PMC13180395,depression,psychiatric,IL6,high
PMC13180395,depression,psychiatric,IL2,high
PMC13180395,depression,psychiatric,IFNG,high
PMC13180395,depression,psychiatric,STAT1,high
PMC13180395,depression,psychiatric,MAPK1,high
PMC13180395,depression,psychiatric,HIF1A,high
PMC13180395,depression,psychiatric,FOS,high
PMC13180395,depression,psychiatric,MMP9,high
PMC13180395,depression,psychiatric,MMP2,high
PMC13180395,depression,psychiatric,MPO,high
PMC13180395,depression,psychiatric,PTGS2,high
PMC13180395,depression,psychiatric,VCAM1,high
PMC13180395,depression,psychiatric,ICAM1,high
PMC13180395,depression,psychiatric,CXCL8,high
PMC13180395,depression,psychiatric,CXCL2,high
PMC13180395,depression,psychiatric,CCL2,high
PMC13180395,depression,psychiatric,CRP,high
PMC13180395,depression,psychiatric,SERPINE1,high
PMC13180395,depression,psychiatric,PPARG,high
PMC13180395,depression,psychiatric,IL10,high
PMC13180395,depression,psychiatric,TGFB1,high
PMC13180395,depression,psychiatric,HMOX1,high
PMC10800909,,,AKT1,high
PMC10800909,,,TP53,high
PMC10800909,,,TNF,high
PMC10800909,,,IL6,high
PMC10800909,,,VEGFA,high
PMC10800909,,,PPARG,high
PMC10800909,,,HIF1A,high
PMC10800909,,,ESR1,high
PMC10800909,,,ERBB2,high
PMC10800909,,,CRP,high
PMC10800909,,,MAPK1,high
PMC10800909,,,PPARA,high
PMC8643239,,,VEGFA,high
PMC8643239,,,MAPK3,high
PMC8643239,,,SRC,high
PMC8643239,,,PTGS2,high
PMC8643239,,,MAPK8,high
PMC11018190,breast_cancer,cancer,TP53,high
PMC11018190,breast_cancer,cancer,AKT1,high
PMC11018190,breast_cancer,cancer,ESR1,high
PMC11018190,breast_cancer,cancer,ERBB2,high
PMC11018190,breast_cancer,cancer,EGFR,high
PMC11018190,breast_cancer,cancer,JUN,high
PMC11018190,breast_cancer,cancer,HSP90AA1,high
PMC11450433,cardiac_fibrosis,cardiovascular,ALB,medium
PMC11450433,cardiac_fibrosis,cardiovascular,IL6,medium
PMC11450433,cardiac_fibrosis,cardiovascular,AKT1,medium
PMC11450433,cardiac_fibrosis,cardiovascular,MMP9,medium
PMC11450433,cardiac_fibrosis,cardiovascular,CASP3,medium
PMC11425098,alzheimer_disease,neurological,PLK4,high
PMC11425098,alzheimer_disease,neurological,FCGRT,high
PMC11425098,alzheimer_disease,neurological,PRKAR2A,high
PMC7607277,hepatocellular_carcinoma,cancer,TP53,medium
PMC7607277,hepatocellular_carcinoma,cancer,CCND1,medium
PMC7607277,hepatocellular_carcinoma,cancer,MYC,medium
PMC7607277,hepatocellular_carcinoma,cancer,VEGFA,medium
PMC7607277,hepatocellular_carcinoma,cancer,CTNNB1,medium
PMC7607277,hepatocellular_carcinoma,cancer,RHOA,medium
PMC7607277,hepatocellular_carcinoma,cancer,CCNA2,medium
PMC7607277,hepatocellular_carcinoma,cancer,AR,medium
PMC7607277,hepatocellular_carcinoma,cancer,HSP90AA1,medium
PMC7607277,hepatocellular_carcinoma,cancer,CDK2,medium
PMC7607277,hepatocellular_carcinoma,cancer,CDH1,medium
PMC7607277,hepatocellular_carcinoma,cancer,CDK1,medium
PMC7607277,hepatocellular_carcinoma,cancer,EP300,medium
PMC7607277,hepatocellular_carcinoma,cancer,JUN,medium
PMC11191986,,,CYP1A1,high
PMC11191986,,,CYP1A2,high
PMC11191986,,,CXCL8,high
PMC11191986,,,ADH1C,high
PMC11191986,,,MMP1,high
PMC11191986,,,SERPINE1,high
PMC11191986,,,COL1A1,high
PMC11191986,,,APOB,high
PMC7289712,,,IL6,medium
PMC7289712,,,MAPK3,medium
PMC7289712,,,MAPK8,medium
PMC7289712,,,CASP3,medium
PMC7289712,,,IL10,medium
PMC7289712,,,IL1B,medium
PMC7289712,,,CXCL8,medium
PMC7289712,,,MAPK1,medium
PMC7289712,,,CCL2,medium
PMC7289712,,,IFNG,medium
PMC7289712,,,IL4,medium
PMC13096405,,,MMP9,medium
PMC13096405,,,HSP90AA1,medium
PMC13096405,,,STAT1,medium
PMC13096405,,,NFKB1,medium
PMC13096405,,,EP300,medium
PMC13096405,,,TP53,medium
PMC13096405,,,SRC,medium
PMC13096405,,,BCL2,medium
