pmcid,disease_label,broad_disease,gene,confidence
PMC10651518,,,TP53,high
PMC10651518,,,CAT,high
PMC10651518,,,IL6,high
PMC10651518,,,CASP3,high
PMC10651518,,,VEGFA,high
PMC10651518,,,IL1B,high
PMC10651518,,,MYC,high
PMC10651518,,,PPARG,high
PMC10651518,,,PTGS2,high
PMC8820622,endometriosis,gynecologic,VEGFA,medium
PMC8820622,endometriosis,gynecologic,CXCL8,medium
PMC8820622,endometriosis,gynecologic,CCL2,medium
PMC8820622,endometriosis,gynecologic,IL1B,medium
PMC8820622,endometriosis,gynecologic,PTGS2,medium
PMC9084909,,,TP53,medium
PMC9084909,,,AKT1,medium
PMC9084909,,,IL6,medium
PMC9084909,,,STAT3,medium
PMC9084909,,,VEGFA,medium
PMC9084909,,,MAPK1,medium
PMC9084909,,,INS,medium
PMC9084909,,,EGFR,medium
PMC9084909,,,TNF,medium
PMC9084909,,,JUN,medium
PMC12564757,type_2_diabetes,metabolic,GAPDH,medium
PMC12564757,type_2_diabetes,metabolic,AKT1,medium
PMC12564757,type_2_diabetes,metabolic,TNF,medium
PMC12564757,type_2_diabetes,metabolic,SRC,medium
PMC12564757,type_2_diabetes,metabolic,EGFR,medium
PMC12564757,type_2_diabetes,metabolic,PPARA,medium
PMC10232107,,,AN,medium
PMC10232107,,,MAPK8,medium
PMC10232107,,,MAPK14,medium
PMC10232107,,,NOS3,medium
PMC8727110,leukemia,cancer,AKT1,high
PMC8727110,leukemia,cancer,MAPK1,high
PMC8727110,leukemia,cancer,MAPK3,high
PMC8727110,leukemia,cancer,PIK3CG,high
PMC8727110,leukemia,cancer,CASP3,high
PMC8727110,leukemia,cancer,CASP9,high
PMC8727110,leukemia,cancer,TNF,high
PMC8727110,leukemia,cancer,TGFB1,high
PMC8727110,leukemia,cancer,MAPK8,high
PMC8727110,leukemia,cancer,TP53,high
PMC10448170,epilepsy,neurological,AKT1,medium
PMC10448170,epilepsy,neurological,ALB,medium
PMC10448170,epilepsy,neurological,TNF,medium
PMC10448170,epilepsy,neurological,TP53,medium
PMC10448170,epilepsy,neurological,EGFR,medium
PMC10448170,epilepsy,neurological,SRC,medium
PMC10448170,epilepsy,neurological,MAPK3,medium
