rank	screen_priority_score	project_accession	species_labels	scientific_names	run_count	total_fastq_gb	total_fastq_bytes	total_read_count	total_base_count	estimated_mean_read_length	paired_runs	illumina_runs	fastq_available_runs	earliest_year	latest_year	unique_sample_titles	explicit_virus_target	priority_reasons	sample_title_examples	centers	countries	run_accessions	search_text
11	97.0	SRP482360	Forsythia suspensa	Forsythia suspensa	2	8.115	8114732709	59485422	17964597444	302.0	2	2	2	2025	2025	0	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available		SUB14115843	China:Henan	SRR27452192;SRR27452200	Transcriptome sequencing of forsythia tissue culture seedlings | Illumina HiSeq 4000 sequencing: Transcriptome sequencing of forsythia tissue culture seedlings | Biological repeat 1 | Transcriptome sequencing of forsythia tissue culture seedlings | Illumina HiSeq 4000 sequencing: Transcriptome sequencing of forsythia tissue culture seedlings | Biological repeat 1
12	97.0	SRP269899	Coptis chinensis	Coptis chinensis	3	8.649	8649411597	63344019	19003205700	300.0	3	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Coptis chinensis	SUB7714147	China:meishan	SRR12142680;SRR12142681;SRR12142682	three species including C. chinensis, C. teeta and C. omeiensis Raw sequence reads | Illumina HiSeq 2500 sequencing: RNA-Seq of C. chinensis: four year | Plant sample from Coptis chinensis | Plant sample from Coptis chinensis | three species including C. chinensis, C. teeta and C. omeiensis Raw sequence reads | Illumina HiSeq 2500 sequencing: RNA-Seq of C. chinensis: four year | Plant sample from Coptis chinensis | Plant sample from Coptis chinensis | three species including C. chinensis, C. teeta and C. omeiensis Raw sequence reads | Illumina HiSeq 2500 sequencing: RNA-Seq of C. chinensis: four year | Plant sample from Coptis chinensis | Plant sample from Coptis chinensis
13	97.0	SRP495917	Bupleurum chinense	Bupleurum chinense	3	8.694	8694127476	62344472	18669652930	299.46	3	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Bupleurum chinense	SUB14315976	China	SRR28365475;SRR28365476;SRR28365477	Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense
14	97.0	SRP521111	Bupleurum chinense	Bupleurum chinense	3	8.694	8694123883	62344472	18669652930	299.46	3	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Bupleurum chinense	SUB14612194	China	SRR29898476;SRR29898477;SRR29898478	Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense
15	97.0	SRP608717	Morus alba	Morus alba	4	8.695	8695273476	68401980	20434316753	298.74	4	4	4	2025	2025	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Morus alba	SUB15583846	China: Yulin	SRR35205927;SRR35205928;SRR35205929;SRR35205930	Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: QS | Plant sample from Morus alba | Plant sample from Morus alba | Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: SDZ | Plant sample from Morus alba | Plant sample from Morus alba | Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: SQ | Plant sample from Morus alba | Plant sample from Morus alba | Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: NHJ | Plant sample from Morus alba | Plant sample from Morus alba
16	97.0	SRP609228	Paeonia lactiflora	Paeonia lactiflora	3	8.98	8980391336	65044838	19513451400	300.0	3	3	3	2025	2025	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Paeonia lactiflora	SUB15541730	China:Yangzhou	SRR35006997;SRR35006998;SRR35006999	Transcriptome of drought-stressed herbaceous peony (Paeonia lactiflora) | Illumina HiSeq 2500 sequencing: paeonia lactiflora leaves transcriptome | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Transcriptome of drought-stressed herbaceous peony (Paeonia lactiflora) | Illumina HiSeq 2500 sequencing: paeonia lactiflora leaves transcriptome | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Transcriptome of drought-stressed herbaceous peony (Paeonia lactiflora) | Illumina HiSeq 2500 sequencing: paeonia lactiflora leaves transcriptome | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora
17	97.0	SRP298169	Ziziphus jujuba	Ziziphus jujuba	2	9.22	9220080892	76330094	22686697528	297.22	2	2	2	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Jujube	SUB8710172	missing	SRR13260174;SRR13260175	Small RNA sequencing and RNA-seq | HiSeq X Ten sequencing: RNA-seq | Jujube | Jujube | Small RNA sequencing and RNA-seq | HiSeq X Ten sequencing: RNA-seq | Jujube | Jujube
18	95.17	SRP417456	Zingiber officinale	Zingiber officinale	2	4.571	4570951621	46119107	13835732100	300.0	2	2	2	2023	2023	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Conventionally propagated cultivar || Fusarium oxysporum f. sp. zingiberi tolerant plants	SUB12515620	India: Nauni, Solan, Himachal Pradesh	SRR23080301;SRR23080302	Differential transcriptome analysis of in vitro mutagenized Fusarium tolerants plants of ginger cv. Himgiri | Illumina NovaSeq 6000 sequencing: Fusarium oxysporum f. sp. zingiberi tolerant plants | Fusarium oxysporum f. sp. zingiberi tolerant plants | Fusarium oxysporum f. sp. zingiberi tolerant plants | Differential transcriptome analysis of in vitro mutagenized Fusarium tolerants plants of ginger cv. Himgiri | Illumina NovaSeq 6000 sequencing: Conventionally propagated cultivar | Conventionally propagated cultivar | Conventionally propagated cultivar
19	95.17	SRP458270	Panax ginseng	Panax ginseng	2	5.736	5735955223	67728493	13681155586	202.0	2	2	2	2023	2023	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Ginseng control || Ginsseng heat shock treatment	SUB13814276	South Korea	SRR25895425;SRR25895426	Transcriptome analysis of Panax ginseng after heat shock treatment | Illumina NovaSeq 6000 sequencing: 1 hr heat | Ginsseng heat shock treatment | Ginsseng heat shock treatment | Transcriptome analysis of Panax ginseng after heat shock treatment | Illumina NovaSeq 6000 sequencing: Control | Ginseng control | Ginseng control
20	95.17	SRP304056	Curcuma longa	Curcuma longa	2	10.201	10201237772	94182167	18836433400	200.0	2	2	2	2022	2022	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Plant sample from Curcuma longa || Plant sample from Curcuma longa under nutrient stress	SUB8877594; SUB9003311	India	SRR13594120;SRR13644832	Curcuma longa (IISR Prathibha) transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of IISR Prathibha | Plant sample from Curcuma longa | four month old Rhizome sample from Curcuma longa (IISR Prathibha) | Curcuma longa (IISR Prathibha) transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of IISR Prathibha (under nutrient stress) | Plant sample from Curcuma longa under nutrient stress | Plant sample from Curcuma longa under nutrient stress
