rank	screen_priority_score	project_accession	species_labels	scientific_names	run_count	total_fastq_gb	total_fastq_bytes	total_read_count	total_base_count	estimated_mean_read_length	paired_runs	illumina_runs	fastq_available_runs	earliest_year	latest_year	unique_sample_titles	explicit_virus_target	priority_reasons	sample_title_examples	centers	countries	run_accessions	search_text
247	71.512	SRP507141	Forsythia suspensa	Forsythia suspensa	12	31.975	31975404730	286385297	86488359694	302.0	12	12	12	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Forsythia suspensa	SUB14440068	China:Henan	SRR29001102;SRR29001103;SRR29001104;SRR29001105;SRR29001106;SRR29001107;SRR29001108;SRR29001109;SRR29001110;SRR29001111;SRR29001112;SRR29001113	Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Root treatment group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Root treatment group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Leaf control group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Leaf control group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Root treatment group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Root control group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Root control group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Root control group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Leaf treatment group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Leaf treatment group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Leaf treatment group for 45 days | Forsythia transcriptome sequencing | Illumina NovaSeq 6000 sequencing: RNAseq of Forsythia suspensa | Plant sample from Forsythia suspensa | Leaf control group for 45 days
248	71.424	SRP644377	Dendrobium officinale	Dendrobium officinale	12	32.151	32151287710	256729103	75685546780	294.81	12	12	12	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Dendrobium officinale	SUB15770395	China	SRR36014337;SRR36014338;SRR36014339;SRR36014340;SRR36014341;SRR36014342;SRR36014343;SRR36014344;SRR36014345;SRR36014346;SRR36014347;SRR36014348	Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:CN-R1 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:N-R3 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:N-R2 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:N-R1 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:C-R3 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:C-R2 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:C-R1 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:CK-R3 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:CN-R3 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:CN-R2 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:CK-R2 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Sequencing of Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Dendrobium officinale:CK-R1 | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale
249	71.333	SRP345348	Sanghuangporus/Phellinus	Sanghuangporus sanghuang	3	20.113	20112944263	44513614	66962092590	1504.31	1	3	3	2022	2023	1	False	replicated tractable run count; large but feasible; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Microbe sample from Sanghuangporus sanghuang	SUB10611119; SUB10645673	China: Guizhou	SRR16883314;SRR16883319;SRR16954724	Sanghuangporus sanghuang Transcriptome | Illumina NovaSeq 6000 sequencing: Tri-generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang | Sanghuangporus sanghuang Transcriptome | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang | Sanghuangporus sanghuang Transcriptome | Illumina NovaSeq 6000 sequencing: Tri-generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang
250	71.133	SRP613919	Dendrobium officinale	Dendrobium officinale	9	32.734	32734248539	230737313	69221193900	300.0	9	9	9	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Dendrobium officinale	SUB15557580	China:Sanming	SRR35171360;SRR35171361;SRR35171362;SRR35171363;SRR35171364;SRR35171365;SRR35171366;SRR35171367;SRR35171368	Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale | Integrated phenotypic, physiological, and transcriptomic analyses reveal light-intensity regulatory mechanisms underlying the multifunctional trait improvement in Dendrobium officinale | Illumina HiSeq 2500 sequencing: Dendrobium officinale stem | Plant sample from Dendrobium officinale | Plant sample from Dendrobium officinale
251	71.056	SRP352985	Forsythia suspensa	Forsythia suspensa	9	36.176	36176471999	273210674	81588795032	298.63	9	9	9	2022	2022	9	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	A-G || A-J || A-Y || B-G || B-J || B-Y || C-G || C-J	SUB10875425	China:Henan	SRR17386487;SRR17386488;SRR17386489;SRR17386490;SRR17386491;SRR17386492;SRR17386493;SRR17386494;SRR17386495	Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: C-G | C-G | C-G | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: B-G | B-G | B-G | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: A-G | A-G | A-G | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: C-J | C-J | C-J | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: B-J | B-J | B-J | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: A-J | A-J | A-J | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: C-Y | C-Y | C-Y | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: B-Y | B-Y | B-Y | Forsythia suspensa Raw sequence reads | Illumina NovaSeq 6000 sequencing: A-Y | A-Y | A-Y
252	71.0	SRP333554	Forsythia suspensa	Forsythia suspensa	4	12.562	12562239697	94629470	28323288262	299.31	4	4	4	2021	2021	1	False	replicated tractable run count; large but feasible; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Forsythia suspensa	SUB10229734	China: Taiyuan	SRR15559493;SRR15559494;SRR15559495;SRR15559496	Forsythia suspensa Genome sequencing and assembly | Illumina NovaSeq 6000 sequencing: B | Plant sample from Forsythia suspensa | Plant sample from Forsythia suspensa | Forsythia suspensa Genome sequencing and assembly | Illumina NovaSeq 6000 sequencing: B | Plant sample from Forsythia suspensa | Plant sample from Forsythia suspensa | Forsythia suspensa Genome sequencing and assembly | Illumina NovaSeq 6000 sequencing: A | Plant sample from Forsythia suspensa | Plant sample from Forsythia suspensa | Forsythia suspensa Genome sequencing and assembly | Illumina NovaSeq 6000 sequencing: A | Plant sample from Forsythia suspensa | Plant sample from Forsythia suspensa
253	71.0	SRP229579	Paeonia lactiflora	Paeonia lactiflora	4	18.895	18895252635	112612800	22522560000	200.0	4	4	4	2021	2021	1	False	replicated tractable run count; large but feasible; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Paeonia lactiflora	SUB5880461	China:Liaoning	SRR10432894;SRR10432895;SRR10432896;SRR10432897	Herbaceous peony seed Transcriptome | Illumina HiSeq 2000 sequencing: herbaceous peony seed transcriptomic | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Herbaceous peony seed Transcriptome | Illumina HiSeq 2000 sequencing: herbaceous peony seed transcriptomic | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Herbaceous peony seed Transcriptome | Illumina HiSeq 2000 sequencing: herbaceous peony seed transcriptomic | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Herbaceous peony seed Transcriptome | Illumina HiSeq 2000 sequencing: herbaceous peony seed transcriptomic | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora
254	71.0	SRP298877	Ophiocordyceps sinensis	Ophiocordyceps sinensis	6	21.417	21416872881	143560868	41646429525	290.1	6	6	6	2021	2021	1	False	replicated tractable run count; large but feasible; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Microbe sample from Ophiocordyceps sinensis	SUB8770401	China:Lanzhou	SRR13286702;SRR13286703;SRR13286704;SRR13286705;SRR13286706;SRR13286707	Ophiocordyceps sinensis Genome sequencing and assembly | Illumina HiSeq 2000 sequencing: RNA-Seq of Ophiocordyceps Sinensis: GZC | Microbe sample from Ophiocordyceps sinensis | Microbe sample from Ophiocordyceps sinensis | Ophiocordyceps sinensis Genome sequencing and assembly | Illumina HiSeq 2000 sequencing: RNA-Seq of Ophiocordyceps Sinensis: GZC | Microbe sample from Ophiocordyceps sinensis | Microbe sample from Ophiocordyceps sinensis | Ophiocordyceps sinensis Genome sequencing and assembly | Illumina HiSeq 2000 sequencing: RNA-Seq of Ophiocordyceps Sinensis: GZC | Microbe sample from Ophiocordyceps sinensis | Microbe sample from Ophiocordyceps sinensis | Ophiocordyceps sinensis Genome sequencing and assembly | Illumina HiSeq 2000 sequencing: RNA-Seq of Ophiocordyceps Sinensis: GZC | Microbe sample from Ophiocordyceps sinensis | Microbe sample from Ophiocordyceps sinensis | Ophiocordyceps sinensis Genome sequencing and assembly | Illumina HiSeq 2000 sequencing: RNA-Seq of Ophiocordyceps Sinensis: GZC | Microbe sample from Ophiocordyceps sinensis | Microbe sample from Ophiocordyceps sinensis | Ophiocordyceps sinensis Genome sequencing and assembly | Illumina HiSeq 2000 sequencing: RNA-Seq of Ophiocordyceps Sinensis: GZC | Microbe sample from Ophiocordyceps sinensis | Microbe sample from Ophiocordyceps sinensis
255	71.0	SRP232992	Angelica sinensis	Angelica sinensis	6	22.593	22593078932	169815386	50944615800	300.0	6	6	6	2021	2021	1	False	replicated tractable run count; large but feasible; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Angelica sinensis	SUB6606038	China:Gansu	SRR10524260;SRR10524261;SRR10524262;SRR10524263;SRR10524264;SRR10524265	Angelica sinensis Raw sequence reads | Illumina HiSeq 4000 sequencing: Angelica sinensis RNA-Seq unbolted plants | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina HiSeq 4000 sequencing: Angelica sinensis RNA-Seq unbolted plants | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina HiSeq 4000 sequencing: Angelica sinensis RNA-Seq bolted plants | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina HiSeq 4000 sequencing: Angelica sinensis RNA-Seq bolted plants | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina HiSeq 4000 sequencing: Angelica sinensis RNA-Seq unbolted plants | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina HiSeq 4000 sequencing: Angelica sinensis RNA-Seq bolted plants | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis
256	71.0	SRP341529	Salvia miltiorrhiza	Salvia miltiorrhiza	6	23.869	23869216564	177074807	44268701750	250.0	6	6	6	2021	2021	1	False	replicated tractable run count; large but feasible; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Salvia miltiorrhiza	SUB10519803	China:Shanghai	SRR16351795;SRR16351796;SRR16351797;SRR16351798;SRR16351799;SRR16351800	Salvia miltiorrhiza cultivar:Shanghai Raw sequence reads | HiSeq X Ten sequencing: Sample_SA01_R4 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza cultivar:Shanghai Raw sequence reads | HiSeq X Ten sequencing: Sample_SA01_R3 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza cultivar:Shanghai Raw sequence reads | HiSeq X Ten sequencing: Sample_SA01_R1 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza cultivar:Shanghai Raw sequence reads | HiSeq X Ten sequencing: Sample_SA01_L4 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza cultivar:Shanghai Raw sequence reads | HiSeq X Ten sequencing: Sample_SA01_L3 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza cultivar:Shanghai Raw sequence reads | HiSeq X Ten sequencing: Sample_SA01_L1 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza
257	71.0	SRP307203	Dendrobium officinale	Dendrobium officinale	6	24.637	24637213042	174235808	52270742400	300.0	6	6	6	2021	2021	1	False	replicated tractable run count; large but feasible; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Dendrobium officinale	SUB9053677	China:Hefei	SRR13753804;SRR13753805;SRR13753806;SRR13753807;SRR13753808;SRR13753809	Study on Function Mining and Transcription Regulation Mechanism of Terpenoid Synthase Gene Family in Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Plant transcriptomic | Plant sample from Dendrobium officinale | Wanhu No.6 replicate3 | Study on Function Mining and Transcription Regulation Mechanism of Terpenoid Synthase Gene Family in Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Plant transcriptomic | Plant sample from Dendrobium officinale | Wanhu No.6 replicate2 | Study on Function Mining and Transcription Regulation Mechanism of Terpenoid Synthase Gene Family in Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Plant transcriptomic | Plant sample from Dendrobium officinale | Wanhu No.6 replicate1 | Study on Function Mining and Transcription Regulation Mechanism of Terpenoid Synthase Gene Family in Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Plant transcriptomic | Plant sample from Dendrobium officinale | Wanhu No.5 replicate3 | Study on Function Mining and Transcription Regulation Mechanism of Terpenoid Synthase Gene Family in Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Plant transcriptomic | Plant sample from Dendrobium officinale | Wanhu No.5 replicate2 | Study on Function Mining and Transcription Regulation Mechanism of Terpenoid Synthase Gene Family in Dendrobium officinale | Illumina NovaSeq 6000 sequencing: Plant transcriptomic | Plant sample from Dendrobium officinale | Wanhu No.5 replicate1
258	70.87	SRP609426	Cordyceps militaris	Cordyceps militaris	9	33.26	33259945213	256315492	76894647600	300.0	9	9	9	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	RNA-Seq of Cordyceps militaris	SUB15544330; SUB15562358; SUB15562555	China: Nanjing	SRR35012877;SRR35012878;SRR35012879;SRR35108136;SRR35108137;SRR35108138;SRR35109891;SRR35109892;SRR35109893	Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | Comparative transcriptome analysis of Cordyceps militaris | Illumina NovaSeq 6000 sequencing: RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris | RNA-Seq of Cordyceps militaris
259	70.72	SRP555911	Panax notoginseng	Panax notoginseng	12	33.559	33559265008	240100294	71176981773	296.45	12	12	12	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Panax notoginseng	SUB14992573	China: Kunming	SRR31920680;SRR31920681;SRR31920682;SRR31920683;SRR31920684;SRR31920685;SRR31920686;SRR31920687;SRR31920688;SRR31920689;SRR31920690;SRR31920691	Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Panax notoginseng | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng
260	70.646	SRP557075	Scutellaria baicalensis	Scutellaria baicalensis	12	33.709	33708935231	243112828	67586599821	278.01	12	12	12	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Scutellaria baicalensis	SUB15000146	China: Shanxi	SRR31984306;SRR31984307;SRR31984308;SRR31984309;SRR31984310;SRR31984311;SRR31984312;SRR31984313;SRR31984314;SRR31984315;SRR31984316;SRR31984317	Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Transcriptome of purple flower, purple safflower, blue flower and white flower scutellaria baicalensis | Illumina NovaSeq 6000 sequencing: RNA-Seq of Scutellaria baicalensis: flower | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis
