third,fourth,control,status,completed_exhaustively,timed_out,witness_found,witness_verified,aggregate_nodes,wall_seconds,audit_status,coverage_ok
2,47,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2063552,2.440154769,EXHAUSTED_NO_WITNESS,True
2,48,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1727335,1.568582443,EXHAUSTED_NO_WITNESS,True
2,49,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1382107,1.534385355,EXHAUSTED_NO_WITNESS,True
2,50,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1132427,1.361138915,EXHAUSTED_NO_WITNESS,True
2,51,False,EXHAUSTED_NO_WITNESS,True,False,False,False,896362,1.038491056,EXHAUSTED_NO_WITNESS,True
2,52,False,EXHAUSTED_NO_WITNESS,True,False,False,False,796956,0.925300975,EXHAUSTED_NO_WITNESS,True
2,53,False,EXHAUSTED_NO_WITNESS,True,False,False,False,628702,0.685942993,EXHAUSTED_NO_WITNESS,True
2,54,False,EXHAUSTED_NO_WITNESS,True,False,False,False,469704,0.517234647,EXHAUSTED_NO_WITNESS,True
2,55,False,EXHAUSTED_NO_WITNESS,True,False,False,False,370530,0.416404329,EXHAUSTED_NO_WITNESS,True
2,56,False,EXHAUSTED_NO_WITNESS,True,False,False,False,275905,0.397827954,EXHAUSTED_NO_WITNESS,True
2,57,False,EXHAUSTED_NO_WITNESS,True,False,False,False,216473,0.220269219,EXHAUSTED_NO_WITNESS,True
2,58,False,EXHAUSTED_NO_WITNESS,True,False,False,False,157837,0.161124812,EXHAUSTED_NO_WITNESS,True
2,59,False,EXHAUSTED_NO_WITNESS,True,False,False,False,122946,0.096320614,EXHAUSTED_NO_WITNESS,True
2,60,False,EXHAUSTED_NO_WITNESS,True,False,False,False,90368,0.089815179,EXHAUSTED_NO_WITNESS,True
2,61,False,EXHAUSTED_NO_WITNESS,True,False,False,False,70623,0.068636652,EXHAUSTED_NO_WITNESS,True
2,62,False,EXHAUSTED_NO_WITNESS,True,False,False,False,51201,0.049132148,EXHAUSTED_NO_WITNESS,True
2,63,False,EXHAUSTED_NO_WITNESS,True,False,False,False,39136,0.029969539,EXHAUSTED_NO_WITNESS,True
2,64,False,EXHAUSTED_NO_WITNESS,True,False,False,False,27969,0.027365508,EXHAUSTED_NO_WITNESS,True
2,65,False,EXHAUSTED_NO_WITNESS,True,False,False,False,21642,0.023939793,EXHAUSTED_NO_WITNESS,True
2,66,False,EXHAUSTED_NO_WITNESS,True,False,False,False,15409,0.014945725,EXHAUSTED_NO_WITNESS,True
2,67,False,EXHAUSTED_NO_WITNESS,True,False,False,False,11711,0.011485781,EXHAUSTED_NO_WITNESS,True
2,68,False,EXHAUSTED_NO_WITNESS,True,False,False,False,8293,0.008044496,EXHAUSTED_NO_WITNESS,True
2,69,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6291,0.006010016,EXHAUSTED_NO_WITNESS,True
2,70,False,EXHAUSTED_NO_WITNESS,True,False,False,False,4301,0.004348161,EXHAUSTED_NO_WITNESS,True
2,71,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3246,0.003320137,EXHAUSTED_NO_WITNESS,True
2,72,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2224,0.002275674,EXHAUSTED_NO_WITNESS,True
2,73,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1667,0.001715489,EXHAUSTED_NO_WITNESS,True
2,74,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1102,0.001433158,EXHAUSTED_NO_WITNESS,True
2,75,False,EXHAUSTED_NO_WITNESS,True,False,False,False,841,0.001572269,EXHAUSTED_NO_WITNESS,True
2,76,False,EXHAUSTED_NO_WITNESS,True,False,False,False,540,0.000698543,EXHAUSTED_NO_WITNESS,True
2,77,False,EXHAUSTED_NO_WITNESS,True,False,False,False,399,0.000598983,EXHAUSTED_NO_WITNESS,True
2,78,False,EXHAUSTED_NO_WITNESS,True,False,False,False,259,0.000467381,EXHAUSTED_NO_WITNESS,True
